Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1,2,2,3,3,1,2,21,1
1,2,2,3,1,1,1,20,1
1,2,2,3,2,2,1,21,1
2,2,1,2,1,1,1,30,1
2,2,1,2,2,1,2,34,1
2,2,1,2,2,1,1,9,1
2,2,1,2,2,1,2,4,1
2,2,1,2,1,1,1,53,1
2,2,1,2,2,1,2,53,1
2,2,1,2,2,1,2,23,1
1,2,1,3,3,1,2,8,2
1,2,2,1,2,2,2,17,1
1,1,1,1,3,1,1,5,1
1,1,1,1,3,1,2,33,1
1,2,1,1,1,1,2,39,1
2,1,1,1,1,1,1,22,1
2,1,1,1,1,1,1,19,4
2,2,2,3,1,1,1,44,3
3,2,1,3,1,1,1,31,4
1,1,2,1,2,1,2,31,2
1,2,2,3,3,1,2,3,1
1,2,2,3,3,1,2,4,1
2,1,2,1,1,1,2,27,1
2,1,2,1,1,1,2,30,1
1,2,2,3,1,1,1,32,1
1,1,1,1,1,1,1,23,1
2,1,1,1,1,1,1,23,1
2,1,1,1,1,1,1,45,2
2,1,1,1,2,1,1,53,2
2,1,1,1,2,1,2,36,2
2,1,1,1,2,1,2,43,2
2,2,1,3,1,2,1,47,3
2,1,1,1,1,1,2,55,1
2,1,1,1,1,1,1,26,1
1,2,1,3,3,2,2,83,1
2,2,1,1,1,2,1,17,3
1,2,2,3,3,1,2,46,1
2,2,2,2,1,1,2,24,1
2,2,3,3,1,1,2,38,1
1,2,2,3,3,1,2,30,1
1,2,2,3,3,1,1,14,1
3,3,2,5,1,1,2,33,1
2,3,2,5,2,1,2,80,1
2,1,2,1,1,1,1,27,3
2,1,1,1,1,1,1,39,1
2,1,1,1,2,1,2,15,1
2,1,1,1,2,1,2,12,1
2,2,1,3,1,1,2,70,1
2,2,1,3,1,1,1,30,1
1,2,2,2,3,1,2,9,1
2,2,2,2,1,1,1,44,1
2,1,2,1,1,1,2,19,1
2,1,2,1,1,1,2,35,3
1,2,1,1,3,1,2,42,1
3,2,1,2,1,1,1,51,1
3,2,1,2,1,1,1,46,1
2,2,2,2,1,1,1,38,1
1,2,2,2,3,1,1,21,1
1,1,1,1,1,1,2,24,1
2,2,1,1,1,1,1,36,1
2,2,1,1,1,1,1,71,1
2,2,1,1,2,1,2,66,1
1,2,1,1,3,1,1,11,1
1,1,2,1,3,2,2,14,3
1,1,2,1,1,1,1,18,3
3,1,2,1,2,1,2,11,1
3,2,2,1,1,1,2,51,1
2,2,2,1,1,1,1,30,1
2,2,2,1,2,1,2,19,1
3,1,1,1,1,1,1,18,1
2,1,1,1,1,1,1,28,1
1,1,2,1,1,1,1,23,1
2,2,1,1,2,1,2,33,1
2,2,1,1,2,1,2,14,1
2,1,2,1,1,1,1,55,1
1,2,2,2,3,1,2,56,1
2,2,2,1,1,1,1,27,3
2,2,2,1,1,2,1,47,3
2,2,2,2,1,1,1,24,1
3,2,1,1,1,1,1,53,4
3,2,1,1,1,1,1,54,4
2,2,1,1,1,1,2,24,1
2,1,1,1,1,1,2,37,1
2,2,1,2,1,1,1,36,3
2,2,1,2,1,1,2,37,2
2,2,1,2,2,1,1,20,2
1,2,1,1,3,1,1,32,1
2,1,1,1,1,1,2,27,1
2,1,2,1,1,1,2,61,1
2,1,2,1,1,1,2,31,1
2,1,2,1,2,1,2,19,1
3,1,1,1,1,1,1,27,3
2,2,1,1,1,1,2,37,3
2,1,1,1,1,1,1,61,3
2,2,2,1,2,1,1,23,1
3,1,1,1,1,1,2,20,1
3,1,1,1,2,1,2,39,1
3,1,1,1,2,1,2,20,2
3,1,1,1,2,1,1,16,2
3,1,1,1,2,1,2,21,2
3,1,2,1,1,1,1,26,1
2,1,1,1,1,1,1,23,1
2,1,1,1,2,1,2,29,2
2,1,1,1,2,1,1,48,2
1,1,1,1,3,1,2,19,2
3,2,2,1,1,1,1,21,3
2,2,2,1,1,1,1,23,3
3,2,2,1,1,1,1,32,4
3,2,2,1,1,1,1,45,1
3,2,2,1,1,1,1,56,1
2,2,2,1,1,1,1,49,4
2,2,2,1,1,1,1,20,1
3,2,1,1,1,1,1,25,1
3,2,1,1,1,1,1,37,1
2,1,2,1,1,1,1,25,3
1,2,1,1,2,1,2,61,1
1,2,1,1,3,2,1,29,1
2,2,1,1,1,1,2,19,1
1,1,1,1,1,1,1,69,1
2,1,1,1,1,1,1,52,1
2,2,1,1,1,1,2,63,1
2,2,2,2,1,1,2,22,1
2,2,2,2,1,1,2,20,1
1,2,2,1,2,2,1,22,1
2,1,1,1,2,1,2,71,1
1,2,1,2,1,2,1,26,3
5,1,1,1,1,1,1,20,1
4,2,1,2,1,1,1,49,1
4,2,1,2,1,1,2,25,1
4,2,1,2,2,1,2,3,1
4,2,1,2,2,1,2,30,1
2,2,1,1,1,1,2,25,1
2,2,1,1,2,1,2,51,1
1,2,2,3,1,1,2,23,1
2,2,2,3,1,1,1,30,1
1,1,2,2,3,1,2,15,1
2,2,2,3,2,1,2,25,1
2,2,1,3,1,1,2,50,1
2,2,1,3,1,1,1,35,4
2,2,1,3,1,1,1,32,1
2,2,1,2,1,1,2,35,1
2,2,1,2,2,1,2,34,1
2,2,1,2,1,1,2,60,1
2,2,1,3,2,1,2,10,1
2,2,2,3,1,1,1,33,3
2,2,2,2,1,2,1,43,3
1,2,1,1,3,1,2,14,3
2,2,1,2,1,1,1,15,3
1,2,1,2,1,1,2,66,1
1,2,1,2,3,1,2,19,1
1,2,2,2,2,1,1,1,2
2,1,2,1,1,1,1,22,1
2,2,1,2,1,1,1,31,1
2,2,2,1,1,1,1,42,1
2,2,2,1,2,1,1,20,1
2,2,2,3,1,1,1,17,1
1,2,2,1,3,1,2,25,1
3,2,1,1,1,2,1,26,1
3,2,1,1,1,1,2,81,1
2,2,1,1,1,2,2,38,1
2,2,1,1,1,1,1,24,4
2,2,1,1,1,1,1,43,1
2,1,2,1,2,1,2,16,2
2,1,2,1,2,1,1,25,2
2,1,2,1,2,1,2,22,2
4,2,2,1,1,1,2,22,1
2,1,1,1,1,1,2,32,1
2,1,2,1,1,1,1,23,1
2,1,1,1,1,1,1,26,3
1,1,1,1,3,1,1,11,1
1,1,2,1,3,2,1,18,1
2,2,1,2,1,1,1,57,3
1,2,1,1,2,1,2,87,2
2,1,1,1,1,1,1,23,1
2,2,2,2,1,1,2,25,1
2,2,2,3,1,1,1,23,1
2,2,2,3,1,1,1,30,1
4,2,2,2,1,1,1,48,1
4,2,2,2,1,1,1,29,1
4,2,2,2,2,1,2,26,1
3,1,2,1,1,1,1,23,1
2,1,1,1,2,1,2,75,1
2,1,1,1,1,1,1,75,1
2,1,1,1,1,1,1,55,1
1,1,1,1,3,1,2,59,1
2,1,1,1,1,1,2,30,1
2,1,1,1,2,1,2,1,1
1,1,1,1,3,1,2,14,1
1,1,2,1,3,1,1,62,2
2,1,2,1,1,1,1,23,3
2,1,2,1,2,2,1,20,3
2,1,2,1,1,2,1,19,3
2,2,1,1,1,1,2,30,1
2,2,1,1,2,1,2,40,1
2,2,1,1,1,1,2,30,1
2,2,1,1,1,1,1,22,1
2,2,1,1,1,1,1,26,1
2,2,1,1,1,1,1,25,1
1,2,2,1,1,1,1,20,1
1,2,2,1,2,1,1,18,1
2,1,2,1,1,1,2,23,3
1,1,1,1,3,1,2,14,1
1,1,3,1,1,1,2,27,1
2,1,2,1,1,1,1,63,1
1,2,1,1,2,1,1,9,1
2,1,3,1,2,1,1,16,1
2,2,3,1,2,1,2,90,1
2,1,2,1,1,1,2,27,3
3,2,2,1,1,1,1,46,1
2,2,2,1,2,2,1,18,1
2,2,2,1,1,1,1,18,1
2,2,2,1,2,1,2,18,1
2,2,2,2,1,1,1,36,1
1,1,2,5,3,1,1,13,1
1,1,1,1,2,1,2,64,2
2,2,1,1,1,1,1,28,3
1,1,1,1,3,1,1,37,1
2,2,1,1,1,1,2,35,1
2,2,2,2,2,1,1,2,1
2,2,2,2,1,1,2,36,1
4,2,2,1,2,1,2,11,1
1,1,1,1,3,2,1,14,1
2,1,1,1,1,1,1,23,2
2,2,2,1,1,1,1,42,1
2,2,2,3,1,1,1,18,3
2,2,3,3,1,2,2,22,3
2,1,1,1,1,1,1,36,1
2,1,1,1,1,2,2,26,1
2,1,1,1,1,1,2,21,1
2,2,2,2,1,1,2,27,1
1,1,1,1,2,1,2,88,2
3,2,1,1,1,1,1,35,1
3,2,1,1,2,1,1,36,1
4,1,1,1,1,1,2,60,1
1,2,2,5,3,2,1,51,2
3,2,2,1,1,1,1,69,1
3,2,2,1,2,1,1,67,1
3,2,2,1,2,1,1,29,1
3,2,2,1,2,1,1,79,1
2,1,1,1,1,1,1,19,1
2,1,1,1,2,1,1,19,1
1,1,1,1,3,2,1,60,1
1,1,1,1,2,1,1,83,2
2,2,1,1,1,1,2,25,1
1,1,1,1,2,1,2,35,2
1,2,2,2,3,1,2,19,1
2,1,2,1,1,1,2,37,1
1,1,3,1,2,1,2,19,1
3,1,2,1,1,1,2,26,1
2,2,1,2,2,1,1,16,1
2,2,1,2,2,1,1,21,1
2,2,1,1,1,1,1,17,3
2,2,1,3,1,1,2,39,1
2,2,1,3,1,1,1,40,1
2,2,1,3,2,1,1,16,1
1,2,1,3,1,1,1,18,1
2,1,3,1,1,1,1,32,1
1,2,2,1,3,1,2,49,1
2,2,3,4,1,1,1,58,1
2,2,3,4,1,1,1,24,3
1,2,2,1,3,1,1,18,1
2,2,1,1,2,1,1,8,1
2,2,1,1,1,1,2,36,1
3,1,1,1,1,1,2,20,1
3,2,2,1,1,1,2,37,1
2,1,2,1,1,1,1,50,3
2,2,1,2,1,2,1,24,3
2,1,1,1,1,1,1,29,1
2,1,3,1,1,1,1,39,1
2,2,1,4,1,1,1,25,1
2,2,1,4,2,1,1,62,1
2,2,1,4,2,1,2,21,1
2,2,2,4,1,1,1,34,3
3,2,2,1,1,1,1,59,1
2,2,2,1,3,1,2,47,1
2,2,1,1,1,1,2,26,1
2,2,1,1,1,1,1,49,1
2,2,1,1,1,1,1,62,1
1,2,1,2,1,1,1,48,1
2,1,1,1,2,1,1,54,1
1,1,1,1,2,2,2,81,2
2,1,1,1,1,1,1,66,1
2,1,1,1,2,2,2,21,1
2,1,1,1,1,1,1,43,1
2,1,2,1,1,1,2,51,1
2,2,2,1,1,1,2,31,1
2,1,1,1,1,1,2,47,1
2,1,1,1,1,1,2,30,1
1,1,1,1,3,2,2,85,1
2,1,1,1,1,2,2,26,3
2,2,2,1,2,1,1,51,1
2,2,2,1,2,1,1,47,1
2,2,2,1,2,1,1,64,1
2,2,2,1,2,1,1,67,1
2,2,2,5,1,1,1,22,3
2,1,1,1,1,1,1,52,3
1,1,1,1,3,1,2,44,1
1,1,1,1,3,1,1,65,1
1,1,2,1,3,2,1,81,1
3,2,2,1,2,1,2,17,1
3,1,2,1,2,1,2,52,1
1,1,2,1,2,1,2,13,1
2,1,1,1,2,1,2,80,2
1,2,1,1,3,1,2,14,1
4,2,1,1,1,1,2,58,1
2,2,1,1,1,1,2,42,1
2,2,1,1,1,1,2,44,1
2,2,1,1,1,1,1,69,1
2,1,2,1,1,1,1,35,4
2,1,1,1,3,2,1,9,1
3,2,1,1,2,1,2,47,1
1,2,2,2,3,1,2,68,1
2,2,1,1,1,1,2,49,1
2,2,2,1,1,1,1,27,3
1,2,2,2,2,1,1,7,2
1,2,2,1,3,2,1,45,1
2,2,1,1,1,1,1,24,1
2,2,1,1,1,1,1,36,1
2,2,1,1,1,1,1,30,3
1,1,1,1,3,1,1,70,1
2,1,1,1,1,1,1,49,1
2,1,1,1,1,1,2,54,1
1,1,1,1,2,1,1,6,2
1,1,1,1,3,1,2,15,1
2,1,2,1,1,1,1,24,1
2,1,2,1,1,1,2,52,1
1,2,2,2,3,1,2,42,1
1,2,1,1,3,1,1,9,1
5,1,2,1,1,1,2,30,1
5,1,2,1,2,1,2,28,1
5,1,2,1,1,1,1,37,1
5,1,2,1,2,1,1,14,1
5,1,2,1,1,1,2,18,1
5,1,2,1,1,1,1,35,1
5,1,2,1,1,1,1,31,1
5,1,2,1,2,1,2,31,1
2,2,2,1,1,1,1,40,1
2,2,1,2,1,1,2,57,1
2,1,1,1,2,1,2,58,1
2,1,1,1,1,1,2,46,1
2,1,2,1,2,1,2,42,1
1,2,3,1,3,1,2,17,1
1,2,3,1,3,1,1,17,1
3,2,1,2,1,2,2,44,3
1,2,3,2,1,1,1,37,1
1,2,3,2,2,1,2,55,1
2,2,3,2,1,1,1,55,1
1,2,2,2,2,1,2,19,1
2,2,2,2,1,1,1,30,1
2,2,1,2,1,1,1,43,6
2,2,1,2,2,1,1,39,6
2,2,1,2,1,1,1,40,1
2,2,1,2,2,1,2,34,1
2,2,1,1,2,1,2,48,2
1,2,1,2,1,1,2,59,1
1,2,1,2,1,1,2,41,1
1,2,1,2,2,1,1,12,1
1,2,1,3,3,1,2,4,1
2,1,2,1,1,2,1,43,3
3,2,2,3,1,1,1,34,1
3,2,2,3,1,1,1,33,1
2,2,2,2,2,1,2,1,1
2,2,2,2,2,1,2,21,1
1,2,1,2,1,1,1,21,1
2,2,1,1,1,1,2,22,1
2,2,1,1,1,2,1,46,3
1,2,2,1,1,1,1,24,1
1,2,1,2,3,1,2,61,1
1,2,2,1,3,1,2,75,1
1,2,1,2,3,2,1,61,1
2,2,1,1,1,1,2,83,1
2,2,2,1,1,1,1,46,4
1,2,1,1,2,1,2,89,2
3,2,2,2,1,1,1,30,1
3,2,2,2,1,1,1,26,1
3,2,2,2,2,1,1,23,1
3,2,2,2,2,1,2,21,1
3,2,2,2,2,1,1,4,1
3,2,2,2,2,1,2,4,1
2,1,2,1,1,1,2,23,1
2,1,2,1,2,1,2,23,1
1,1,2,1,3,1,2,76,1
2,1,2,1,1,1,1,55,3
