Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1,1,1,1,3,2,1,49,1
1,1,2,1,1,2,1,48,4
2,1,1,1,1,1,1,46,3
1,1,1,1,3,1,2,6,1
2,1,2,1,1,2,1,23,3
2,1,2,1,1,1,1,18,1
2,1,2,1,2,2,2,14,1
2,1,2,1,2,1,1,18,1
2,1,2,1,2,1,1,18,1
2,1,2,1,2,1,2,14,1
2,1,2,1,1,1,1,20,1
2,1,1,1,1,1,1,39,3
1,1,1,1,3,1,1,2,1
2,1,1,1,1,1,2,46,1
1,1,2,1,3,2,1,75,1
1,1,2,1,3,1,2,55,1
2,1,3,1,1,1,1,38,4
2,1,3,1,1,1,1,20,1
2,1,3,1,2,1,2,20,1
1,1,1,1,3,1,2,13,1
2,1,2,1,1,2,2,74,1
1,1,2,1,3,2,1,39,1
2,1,1,1,1,1,1,29,3
2,1,1,1,1,1,1,60,3
2,1,1,1,2,1,1,8,3
2,1,1,1,1,1,2,27,3
2,1,1,1,1,1,2,31,1
2,1,1,1,2,1,1,2,1
2,1,1,1,1,1,1,46,1
2,1,1,1,1,1,2,33,1
1,1,2,1,3,2,1,24,1
2,1,1,1,1,1,2,26,1
2,1,1,1,2,1,1,53,1
2,1,1,1,1,1,1,39,1
3,1,1,1,1,1,1,56,1
2,1,1,1,3,1,1,69,1
2,1,1,1,1,1,1,30,3
2,1,1,1,1,1,1,57,1
2,1,1,1,1,1,2,27,1
1,1,1,1,3,2,2,86,1
2,1,2,1,1,1,2,20,1
2,1,2,1,2,1,2,23,1
2,1,2,1,2,1,2,18,1
1,1,1,1,3,1,1,67,1
2,1,1,1,1,1,1,23,3
2,1,1,1,1,1,1,46,1
2,1,1,1,1,1,1,24,3
3,1,1,1,1,1,1,39,1
1,1,1,1,3,1,2,19,1
2,1,2,1,1,1,2,31,1
2,1,1,1,1,2,1,35,3
2,1,1,1,1,1,1,28,3
2,1,1,1,1,1,2,22,1
2,1,3,1,1,2,1,68,1
2,1,3,1,2,1,1,71,1
2,1,3,1,2,1,1,73,1
2,1,3,1,1,1,2,21,1
2,1,3,1,2,1,2,19,1
2,2,1,2,1,1,1,25,3
2,1,1,1,1,1,2,30,1
2,1,1,1,1,1,2,48,1
3,1,1,1,1,1,1,28,1
1,1,1,1,2,1,1,16,3
2,1,2,1,1,1,1,34,3
2,1,2,1,2,1,2,29,3
2,2,2,2,1,1,1,39,1
2,2,2,2,2,1,1,39,1
2,2,1,2,2,1,2,18,1
2,2,1,2,2,1,1,2,1
2,2,1,2,1,1,1,30,1
